index,publishedAt,sentiment,type
0,2017-12-13T00:44:00Z,0.4767,news
1,2017-12-13T12:00:00Z,-0.3182,news
2,2017-12-13T12:31:17Z,0,news
3,2017-12-13T19:35:00Z,-0.7783,news
4,2017-12-13T14:04:44Z,0.0516,news
5,2017-12-13T03:25:53Z,0.1531,news
6,2017-12-13T15:33:41Z,-0.1027,news
7,2017-12-13T03:06:44Z,-0.9509,news
8,2017-12-13T10:14:02Z,0.7096,news
9,2017-12-13T22:58:40Z,0,news
10,2017-12-13T14:56:30Z,-0.6486,news
11,2017-12-13T20:59:33Z,0,news
12,2017-12-13T01:45:10Z,0.8934,news
13,2017-12-13T16:46:33Z,0.9062,news
14,2017-12-13T05:24:19Z,0.1496,news
15,2017-12-13T17:00:00Z,-0.5574,news
16,2017-12-13T18:02:46Z,0.4019,news
17,2017-12-13T04:11:38Z,0.7819,news
18,2017-12-13T12:01:24Z,0.5267,news
19,2017-12-13T18:16:14Z,-0.5616,news
0,2017-12-14T11:20:00Z,0.2481,news
1,2017-12-14T13:22:00Z,0.4939,news
2,2017-12-15T00:00:00Z,-0.8074,news
3,2017-12-14T13:15:50Z,-0.3182,news
4,2017-12-14T00:52:35Z,0.0679,news
5,2017-12-14T23:55:23Z,-0.1779,news
6,2017-12-14T19:37:57Z,-0.3818,news
7,2017-12-14T22:33:15Z,-0.4588,news
8,2017-12-14T01:08:30Z,-0.9201,news
9,2017-12-14T16:00:29Z,0.7778,news
10,2017-12-14T18:58:27Z,-0.3956,news
11,2017-12-14T23:37:42Z,0.6369,news
12,2017-12-14T21:31:55Z,-0.8735,news
13,2017-12-14T10:47:06Z,0.6801,news
14,2017-12-14T23:31:29Z,0.3818,news
15,2017-12-14T10:45:20Z,0.4939,news
16,2017-12-14T01:45:58Z,-0.6597,news
17,2017-12-14T10:28:43Z,-0.5267,news
18,2017-12-14T10:00:31Z,0.4404,news
19,2017-12-14T20:50:07Z,-0.765,news
0,2017-12-15T15:00:00Z,-0.1779,news
1,2017-12-15T16:00:00Z,-0.6486,news
2,2017-12-15T20:05:18Z,0.8126,news
3,2017-12-15T15:55:00Z,0.4549,news
4,2017-12-15T20:10:00Z,0.8268,news
5,2017-12-15T15:13:00Z,0.7906,news
6,2017-12-15T00:00:00Z,-0.8074,news
7,2017-12-15T19:59:00Z,0.8225,news
8,2017-12-15T15:14:35Z,-0.7717,news
9,2017-12-15T17:57:34Z,0.296,news
10,2017-12-15T10:45:19Z,0.836,news
11,2017-12-15T21:37:49Z,-0.099,news
12,2017-12-15T14:17:51Z,-0.3818,news
13,2017-12-15T10:45:15Z,-0.1779,news
14,2017-12-15T02:16:31Z,-0.8555,news
15,2017-12-15T23:09:36Z,0.4019,news
16,2017-12-15T10:34:18Z,-0.25,news
17,2017-12-15T15:17:01Z,0.91,news
18,2017-12-15T02:52:19Z,-0.2732,news
19,2017-12-15T10:02:26Z,0,news
0,2017-12-16T22:06:00Z,-0.3641,news
1,2017-12-16T01:06:23Z,0.5267,news
2,2017-12-16T16:52:45Z,0.0258,news
3,2017-12-16T17:06:03Z,0.7096,news
4,2017-12-16T00:45:55Z,0.3382,news
5,2017-12-16T02:46:10Z,-0.7003,news
